Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Millones de pesos a precios de 2018|B.1bP---Producto interno bruto<C1>,1212171.197,1246901.39,1274855.822,1340006.101,1380125.9170000001,1408019.743,1315481.838,1393675.357,1433185.382,1488616.7970000003,1514072.5969999996,1567647.1730000002,1626750.8130000003,1676418.7359999998,1708140.018,1754179.5100000002,1767123.3190000001,1624208.871,1712483.099,1797607.7309999997,1834577.5140000002,
"Millones de pesos a precios de 2018|D.21-D.31---Impuestos sobre los productos, netos",89083.785,91195.52,95731.913,100322.682,99854.626,107035.092,94653.468,95180.945,91220.143,95566.137,95162.42,99776.791,105313.479,105792.348,107218.488,110340.807,115042.259,96619.503,107175.878,115167.579,118105.547,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  <C1>,1123087.412,1155705.8699999999,1179123.909,1239683.419,1280271.2910000002,1300984.651,1220828.37,1298494.412,1341965.239,1393050.6600000001,1418910.1769999997,1467870.3820000002,1521437.3340000003,1570626.3879999998,1600921.53,1643838.7030000002,1652081.06,1527589.368,1605307.221,1682440.1519999998,1716471.9670000002,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias<C1>,63782.62,71754.36099999999,68550.428,73155.353,79127.64299999998,80914.86,70072.893,77001.69600000001,76909.09400000001,84848.15299999999,84764.69300000001,95606.11,92316.199,93843.62700000001,95408.61499999999,98909.24299999999,101276.038,103964.48200000002,102899.84,107268.90400000001,106231.32400000001,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",63782.62,71754.36099999999,68550.428,73155.353,79127.64299999998,80914.86,70072.893,77001.69600000001,76909.09400000001,84848.15299999999,84764.69300000001,95606.11,92316.199,93843.62700000001,95408.61499999999,98909.24299999999,101276.038,103964.48200000002,102899.84,107268.90400000001,106231.32400000001,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|111---Agricultura<C1>",29360.455,36003.578,34030.475,35670.423,40532.572,42381.606,31588.64,36073.251,36643.53,41912.273,43048.603,53498.394,49429.445,49911.429,50517.928,52405.082,53583.539,54716.275,52518.098,56215.55,53910.316,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|112---Cría y explotación de animales<C1>",32261.345,33320.35,33405.606,35463.778,36710.331,36731.179,37565.783,38774.377,39334.355,39227.886,40706.703,41122.409,41719.558,42974.195,43836.665,45364.49,46550.23,48160.436,49319.488,49939.142,51285.3,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|114---Pesca, caza y captura<C1>",80.028,108.389,83.12,82.209,297.393,120.552,74.04,79.964,51.318,57.245,130.273,140.224,137.329,154.676,167.061,153.203,141.385,86.952,59.079,46.515,70.368,
"Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza|113,115---Aprovechamiento forestal, Servicios relacionados con las actividades agropecuarias y forestales<C1>",2080.792,2322.044,1031.227,1938.943,1587.347,1681.523,844.43,2074.104,879.891,3650.749,879.114,845.083,1029.867,803.327,886.961,986.468,1000.884,1000.819,1003.175,1067.697,965.34,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias<C1>,364721.01900000003,367068.32699999993,379801.885,401308.418,411447.402,413319.29799999995,383580.527,407178.276,418197.48,433503.125,442072.00399999996,461437.41,491405.38800000004,495432.44299999997,506846.374,502848.68200000003,500980.63600000006,458761.70300000004,480873.20700000005,517054.194,519570.881,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería<C1>,3508.826,3169.513,3432.646,3179.608,4077.717,4628.086,5258.442,7996.259,9907.924,10699.826,14605.369,13328.427,9191.804,11081.118,12168.435,8001.747,7053.176,10339.979,10127.277,10504.72,4526.642,
Millones de pesos a precios de 2018|B.1bV---Valor agregado bruto|Actividad económica total  |Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
